  1 12 19 0030 F   127.9     4.0    17.6     4.3   122.8     2.9    28.8     4.5     4.9   100.5    -0.3     0.0     0.00     0.00    97.47     0.87     4.0     7.4    11.6
  1 12 19 0130 D   128.9     3.9     9.1     4.5   125.9     2.6    14.4     4.6     5.1   100.6    -0.2     0.0     0.00    -0.10    97.45     0.88     4.0     7.4    11.6
  1 12 19 0230 D   129.5     4.3     8.7     4.7   125.1     3.0    10.7     4.8     5.3   101.1    -0.2     0.0     0.00     0.20    97.40     0.89     4.0     7.4    11.6
  1 12 19 0330 D   160.4     3.9    19.1     5.0   151.5     2.4    14.3     5.1     5.6   101.5    -0.1     0.0     0.00     0.30    97.32     0.91     4.1     7.4    11.6
  1 12 19 0430 E   219.5     4.0    17.9     5.2   225.3     3.0    18.1     5.4     5.9   101.5    -0.3     0.0     0.00    -0.10    97.31     0.93     4.1     7.4    11.6
  1 12 19 0530 D   250.8     3.5    11.8     5.1   247.8     2.6    11.8     5.3     5.9   101.4    -0.3     0.0     0.00    -1.60    97.36     0.93     4.1     7.4    11.6
  1 12 19 0630 D   233.5     4.7    11.8     3.9   232.6     3.5    11.4     4.2     4.5    98.6    -0.4     0.0     0.20    -5.80    97.41     0.85     4.1     7.4    11.6
  1 12 19 0730 D   243.0     5.9    10.9     2.4   249.1     4.4    12.9     2.8     1.9    90.8    -0.8     0.0    41.20     9.40    97.43     0.70     4.1     7.4    11.6
  1 12 19 0830 C   241.3     6.5     8.3     2.4   244.8     4.9    11.2     3.2     1.4    86.4    -1.5     0.0   174.20    29.40    97.43     0.68     4.2     7.4    11.6
  1 12 19 0930 D   244.5     7.4     8.8     2.9   247.6     5.6    12.0     3.3     1.3    84.7    -0.8     0.0   153.10    16.70    97.49     0.67     4.2     7.4    11.6
  1 12 19 1030 D   250.1     7.9     8.5     2.7   250.9     6.1    11.2     3.2     1.4    86.2    -1.0     0.0   166.30    30.20    97.52     0.68     4.2     7.4    11.6
  1 12 19 1130 D   254.4     8.1     8.0     2.7   255.4     6.2    11.8     3.3     1.6    87.3    -1.1     0.0   168.10    26.40    97.54     0.69     4.2     7.4    11.6
