  1 12 20 0030 D   313.8     5.6    11.4    -3.4   310.2     4.0    12.7    -3.1    -9.3    62.5    -0.5     0.0     1.60   -11.50    99.23     0.30     4.3 99999.0    11.9
  1 12 20 0130 D   337.6     5.3    11.5    -3.6   337.0     3.2    34.8    -3.4    -9.7    62.0    -0.4     0.0     1.60   -15.80    99.24     0.29     4.3 99999.0    11.9
  1 12 20 0230 D   342.1     4.3    10.6    -3.7   341.0     2.4    23.7    -3.5    -9.7    62.5    -0.5     0.0     1.60   -13.50    99.26     0.29     4.2 99999.0    11.9
  1 12 20 0330 D   315.0     4.2    13.5    -3.9   313.5     2.9    15.4    -3.7    -9.6    63.9    -0.4     0.0     1.60   -16.80    99.25     0.30     4.1 99999.0    11.9
  1 12 20 0430 D   321.8     4.4     8.7    -4.5   317.9     2.8    14.3    -4.4   -10.0    65.6    -0.2     0.0     0.80   -40.00    99.23     0.29     4.1 99999.0    11.9
  1 12 20 0530 D   321.1     3.5    16.3    -5.0   309.9     2.0    10.3    -5.1   -10.0    69.8     0.3     0.0     0.20   -45.30    99.21     0.29     4.0 99999.0    11.9
  1 12 20 0630 D   308.8     4.4     8.5    -6.3   304.2     2.8    11.4    -6.3    -9.6    79.2    -0.1     0.0     1.60   -42.00    99.25     0.30     3.9 99999.0    11.9
  1 12 20 0730 D   316.5     3.6     9.0    -6.8   311.0     2.5    12.8    -6.7    -9.7    81.8    -0.3     0.0    31.90    -9.50    99.28     0.29     3.8 99999.0    11.9
  1 12 20 0830 C   313.6     3.4    10.3    -5.9   307.1     2.8    14.0    -5.6    -9.2    77.5    -0.6     0.0   105.20    55.80    99.36     0.31     3.8 99999.0    11.9
  1 12 20 0930 C   311.7     3.6    12.5    -4.9   308.0     3.1    18.4    -4.5    -8.9    72.4    -0.8     0.0   161.40    97.50    99.43     0.31     3.7 99999.0    11.9
  1 12 20 1030 C   305.0     4.4    13.6    -4.0   305.9     3.8    17.6    -3.5    -8.5    68.7    -1.0     0.0   234.50   145.60    99.49     0.32     3.7 99999.0    11.9
  1 12 20 1130 C   300.3     4.7    13.2    -3.2   296.5     4.0    17.6    -2.6    -8.1    65.9    -1.1     0.0   315.70   194.10    99.49     0.33     3.6 99999.0    11.9
  1 12 20 1230 B   299.3     4.3    15.8    -2.4   297.9     3.8    18.3    -1.8    -7.7    63.3    -1.1     0.0   362.90   200.60    99.47     0.34     3.6 99999.0    11.9
  1 12 20 1330 B   292.8     4.3    19.0    -1.8   291.1     3.8    20.0    -1.3    -7.8    59.8    -1.1     0.0   379.50   191.90    99.46     0.34     3.7 99999.0    11.9
  1 12 20 1430 C   293.0     4.6    14.5    -1.4   288.9     3.9    19.2    -0.9    -7.5    59.9    -1.0     0.0   260.00    95.50    99.47     0.35     3.7 99999.0    11.9
  1 12 20 1530 C   300.3     4.2    12.9    -0.7   297.8     3.4    16.1    -0.4    -7.2    59.0    -0.6     0.0   111.90   -13.10    99.54     0.36     3.8 99999.0    11.9
  1 12 20 1630 D   291.3     4.4     7.3    -1.0   290.9     3.0    10.7    -1.0    -7.1    61.5     0.0     0.0     8.70   -46.30    99.57     0.36     3.8 99999.0    11.9
  1 12 20 1730 D   296.0     4.5     4.8    -1.3   291.2     2.3     9.0    -1.6    -7.2    64.4     0.5     0.0     0.60   -44.40    99.58     0.36     3.8 99999.0    11.9
  1 12 20 1830 D   298.3     4.6     3.6    -1.6   286.3     2.2     7.3    -2.0    -7.0    67.7     0.8     0.0     0.90   -39.10    99.58     0.36     3.7 99999.0    11.9
  1 12 20 1930 D   300.2     4.2     3.6    -1.9   279.4     1.8     7.1    -2.5    -6.9    70.8     1.0     0.0     0.90   -37.70    99.61     0.37     3.6 99999.0    11.9
  1 12 20 2030 D   308.6     4.2     4.3    -2.0   284.5     1.9     5.7    -2.9    -6.9    73.3     1.8     0.0     0.90   -33.20    99.65     0.37     3.5 99999.0    11.9
  1 12 20 2130 D   313.5     5.2     3.9    -2.1   289.2     2.3     6.5    -3.5    -7.1    75.7     2.7     0.0     1.30   -30.00    99.67     0.36     3.4 99999.0    11.9
  1 12 20 2230 D   303.8     5.8     4.7    -2.3   282.1     2.6     5.9    -3.9    -7.2    78.2     3.2     0.0     1.20   -29.00    99.73     0.36     3.3 99999.0    11.9
  1 12 20 2330 D   305.3     6.3     4.1    -2.8   288.3     2.6     7.6    -4.2    -7.5    78.5     2.8     0.0     1.30   -30.50    99.76     0.35     3.3 99999.0    11.9
  1 12 20 2400 X   308.5     4.5     9.6    -3.2   301.2     2.9    15.5    -3.3    -8.3    68.5     0.1     0.0    82.80    20.10    99.45     0.33     3.8 99999.0    11.9
  2 12 20 0030 D   312.5     6.5     2.5    -3.1   294.4     2.7     6.4    -4.4    -7.8    77.8     2.6     0.0     1.10   -30.50    99.78     0.34     3.2 99999.0    11.9
  2 12 20 0130 D   321.5     5.9     5.1    -2.8   294.8     2.4     8.1    -4.7    -8.0    78.5     3.8     0.0     1.10   -28.00    99.80     0.33     3.1 99999.0    11.9
  2 12 20 0230 D   317.2     6.0     6.6    -2.8   291.1     2.6     6.8    -5.0    -8.3    78.8     4.3     0.0     1.30   -26.00    99.85     0.33     3.0 99999.0    11.9
  2 12 20 0330 D   306.8     7.1     2.9    -3.4   293.1     3.1     6.8    -5.3    -8.5    79.8     3.9     0.0     1.30   -28.80    99.91     0.32     3.0 99999.0    11.9
  2 12 20 0430 D   316.2     6.8     2.7    -3.1   297.9     2.4     6.1    -5.5    -8.7    79.9     4.8     0.0     1.10   -26.30    99.95     0.32     2.9 99999.0    11.9
  2 12 20 0530 D   325.4     6.0     2.3    -2.9   296.1     2.2     7.6    -5.4    -8.7    78.8     5.0     0.0     1.30   -22.30    99.99     0.32     2.8 99999.0    11.9
  2 12 20 0630 D   296.3     4.9    15.2    -4.1   274.0     2.4     8.1    -5.6    -8.8    79.6     3.1     0.0     2.50   -23.30   100.05     0.31     2.8 99999.0    11.8
  2 12 20 0730 C   285.0     5.3     5.1    -3.8   275.1     2.8     8.5    -5.4    -8.8    78.8     3.2     0.0    94.10    33.10   100.10     0.32     2.7 99999.0    11.9
  2 12 20 0830 C   298.2     4.3     9.2    -2.5   285.5     2.3    11.4    -3.2    -7.6    71.5     1.4     0.0   291.70   135.80   100.18     0.35     2.7 99999.0    11.9
  2 12 20 0930 B   290.9     3.2    16.9    -0.3   274.1     2.8    12.0    -0.2    -6.5    61.0    -0.2     0.0   364.00   209.90   100.30     0.38     2.7 99999.0    11.9
  2 12 20 1030 B   262.0     2.9    17.3     1.3   263.4     2.8    14.4     1.8    -6.5    53.0    -1.1     0.0   402.00   239.50   100.37     0.38     2.7 99999.0    11.9
  2 12 20 1130 B   249.0     3.1    12.0     2.5   248.9     3.0    14.6     3.1    -6.1    49.7    -1.2     0.0   426.50   250.50   100.35     0.39     2.7 99999.0    11.9
  2 12 20 1230 B   255.0     3.1    14.6     3.8   255.0     2.9    17.2     4.4    -6.5    43.9    -1.2     0.0   410.40   226.90   100.33     0.38     2.7 99999.0    11.9
  2 12 20 1330 B   261.0     3.2    16.1     5.4   260.3     3.1    17.4     5.9    -6.7    38.9    -1.1     0.0   372.60   186.70   100.28     0.37     2.6 99999.0    11.9
  2 12 20 1430 C   260.0     3.2    13.5     6.1   257.6     2.8    15.8     6.6    -6.1    38.9    -1.0     0.0   257.60    91.80   100.29     0.39     2.6 99999.0    11.9
  2 12 20 1530 C   258.2     3.0    12.8     6.2   251.4     2.5    11.2     6.5    -6.5    38.0    -0.5     0.0   105.60   -16.00   100.29     0.38     2.7 99999.0    11.9
  2 12 20 1630 D   249.8     4.1     4.0     5.5   247.0     2.2     7.2     5.1    -6.1    42.6     0.8     0.0     7.40   -38.60   100.21     0.39     2.6 99999.0    11.9
  2 12 20 1730 D   245.5     5.6     3.8     4.6   247.7     2.8     7.3     3.8    -5.8    47.8     1.6     0.0     1.60   -40.10   100.13     0.40     2.6 99999.0    11.9
  2 12 20 1830 D   252.7     6.2     5.5     3.7   252.4     3.1     7.1     2.5    -5.2    54.7     2.4     0.0     1.60   -43.80   100.09     0.42     2.6 99999.0    11.9
  2 12 20 1930 D   247.1     7.4     6.0     2.3   252.0     4.0     8.8     1.7    -5.5    56.9     1.3     0.0     1.70   -49.90   100.08     0.41     2.5 99999.0    11.9
  2 12 20 2030 D   251.5     7.0     6.0     1.5   254.0     3.8     9.2     0.9    -5.5    60.1     1.1     0.0     1.50   -52.80   100.10     0.41     2.5 99999.0    11.9
  2 12 20 2130 D   249.8     6.6     6.1     0.8   250.8     3.5     9.5     0.2    -6.2    60.0     1.1     0.0     1.70   -50.70   100.06     0.39     2.5 99999.0    11.8
  2 12 20 2230 D   254.2     6.2     5.9     0.4   254.8     2.7     9.3    -0.5    -6.6    61.7     1.9     0.0     1.50   -47.80    99.99     0.38     2.5 99999.0    11.8
  2 12 20 2330 D   243.1     6.9     6.5     0.3   241.3     3.2     9.2    -0.9    -6.8    63.1     2.4     0.0     2.00   -45.40    99.90     0.37     2.5 99999.0    11.8
  2 12 20 2400 X   276.7     5.2     7.2     0.6   265.6     2.8    10.6    -0.1    -7.0    61.4     1.6     0.0   114.70    33.50   100.10     0.36     2.7 99999.0    11.9
  3 12 20 0030 D   258.4     6.2     6.5    -0.6   265.0     3.3    12.2    -1.2    -6.8    63.8     1.2     0.0     1.80   -44.30    99.89     0.37     2.5 99999.0    11.8
  3 12 20 0130 D   262.2     6.5    10.5    -1.0   256.9     3.1    12.1    -2.0    -7.2    66.7     2.0     0.0     1.80   -42.80    99.86     0.36     2.4 99999.0    11.8
  3 12 20 0230 D   247.8     6.0     4.8    -1.6   245.3     2.7     8.8    -2.4    -7.4    68.1     1.7     0.0     1.90   -38.50    99.82     0.35     2.4 99999.0    11.8
  3 12 20 0330 D   245.4     6.1     6.7    -1.6   244.9     2.9    10.0    -2.4    -7.5    67.2     1.6     0.0     1.90   -38.40    99.75     0.35     2.4 99999.0    11.8
  3 12 20 0430 D   237.0     6.6     5.6    -1.9   237.3     3.5    10.3    -2.5    -7.5    67.9     1.1     0.0     2.10   -37.10    99.72     0.35     2.4 99999.0    11.8
  3 12 20 0530 D   255.2     6.1     9.0    -2.4   259.8     3.4    10.2    -2.7    -7.7    68.1     0.7     0.0     1.80   -41.30    99.72     0.34     2.4 99999.0    11.8
  3 12 20 0630 D   249.4     5.9     8.7    -2.6   248.2     3.1    13.2    -3.1    -7.9    69.7     1.0     0.0     2.40   -39.00    99.73     0.34     2.4 99999.0    11.8
  3 12 20 0730 D   235.4     5.7     9.0    -3.3   238.3     3.4    11.8    -3.4    -7.8    71.9     0.3     0.0    49.00    -5.20    99.76     0.34     2.3 99999.0    11.8
  3 12 20 0830 C   254.1     5.5     7.5    -2.2   253.7     4.0    10.5    -2.1    -7.0    68.2    -0.2     0.0   181.40    91.40    99.78     0.36     2.3 99999.0    11.8
  3 12 20 0930 C   239.4     5.3    15.9    -0.8   240.9     4.4    12.1    -0.3    -5.5    66.9    -0.9     0.0   344.50   207.00    99.83     0.41     2.3 99999.0    11.9
  3 12 20 1030 B   253.3     5.9    12.4     1.3   254.0     4.7    14.0     1.9    -4.0    63.7    -1.3     0.0   376.20   225.70    99.80     0.46     2.3 99999.0    11.9
  3 12 20 1130 C   249.8     6.8    11.8     3.4   250.0     5.5    13.5     4.1    -3.6    56.2    -1.4     0.0   454.50   273.40    99.71     0.47     2.3 99999.0    11.9
  3 12 20 1230 D   252.5     7.8     8.9     5.1   253.2     6.1    12.3     5.9    -3.3    50.6    -1.5     0.0   440.90   253.80    99.64     0.48     2.3 99999.0    11.9
  3 12 20 1330 D   247.7     7.8    11.0     6.0   249.5     6.1    12.9     6.7    -3.0    49.0    -1.4     0.0   370.80   195.50    99.61     0.49     2.4 99999.0    11.9
  3 12 20 1430 D   253.3     7.6     8.9     5.6   254.0     5.7    12.0     6.2    -2.7    52.1    -1.1     0.0   251.90    98.90    99.59     0.50     2.4 99999.0    11.9
  3 12 20 1530 D   249.2     7.0    10.9     5.1   250.8     5.1    12.5     5.4    -2.5    55.3    -0.6     0.0   103.60    -7.60    99.58     0.51     2.4 99999.0    11.9
  3 12 20 1630 D   248.8     6.5     9.0     4.3   249.1     4.3    10.3     4.3    -2.4    59.7     0.0     0.0     9.30   -43.00    99.54     0.51     2.5 99999.0    11.8
