  1 11 19 0030 D   243.6     4.5     8.1    -4.6   240.2     2.8    10.4    -4.6    -6.3    90.4    -0.0     0.0     0.00   -15.00    99.72     0.38     6.4    12.4    13.8
  1 11 19 0130 D   236.6     5.0     6.4    -4.7   241.9     3.0     9.5    -4.8    -6.2    92.1     0.0     0.0     0.00   -13.30    99.74     0.39     6.3    12.4    13.8
  1 11 19 0230 E   245.4     5.0     5.5    -4.5   243.2     2.9     7.3    -4.8    -6.2    92.2     0.6     0.0     0.00   -12.70    99.75     0.38     6.2    12.3    13.8
  1 11 19 0330 D   226.7     5.0     6.4    -4.3   237.9     2.7     7.7    -4.8    -5.9    94.2     0.9     0.0     0.00   -11.80    99.77     0.39     6.2    12.3    13.8
  1 11 19 0430 D   217.1     4.0     5.5    -4.2   213.4     2.4     8.6    -4.5    -5.5    95.2     0.6     0.0     0.00    -9.40    99.80     0.41     6.1    12.3    13.8
  1 11 19 0530 D   210.1     4.1     6.0    -4.5   210.6     2.4     9.0    -4.7    -5.6    96.0     0.4     0.0     0.00    -8.80    99.80     0.40     6.0    12.3    13.8
  1 11 19 0630 D   204.3     4.5     5.5    -4.7   205.8     2.8     9.5    -4.8    -5.7    96.2     0.1     0.0    27.90    -2.80    99.83     0.40     5.9    12.3    13.8
  1 11 19 0730 C   207.0     4.5     8.2    -3.8   207.5     3.2    11.9    -3.6    -4.9    93.2    -0.4     0.0   227.50    -0.60    99.90     0.43     5.8    12.3    13.8
  1 11 19 0830 C   204.0     3.8     9.2    -2.3   207.9     3.1    13.5    -1.9    -3.7    87.4    -0.8     0.0   233.50    -4.00    99.96     0.47     5.8    12.3    13.8
  1 11 19 0930 B   203.1     3.7    14.5    -0.5   203.6     3.3    15.0    -0.1    -2.7    81.3    -0.8     0.0   440.40    19.70   100.02     0.50     5.7    12.3    13.9
  1 11 19 1030 B   202.5     5.1    10.0     1.3   202.9     4.2    13.8     1.8    -2.0    74.1    -1.0     0.0   454.80    60.60   100.05     0.53     5.7    12.3    13.9
  1 11 19 1130 B   190.3     6.3    11.9     2.8   193.6     4.9    14.0     3.4    -1.5    69.0    -1.3     0.0   571.40   144.30    99.97     0.55     5.6    12.2    13.9
  1 11 19 1230 C   194.8     7.6    10.6     4.4   198.6     5.6    14.0     5.1    -2.6    57.1    -1.4     0.0   524.00   233.00    99.91     0.51     5.6    12.2    13.9
  1 11 19 1330 D   190.5     8.4    10.8     5.5   195.9     6.1    14.6     6.2    -3.3    50.0    -1.4     0.0   416.20   176.30    99.87     0.48     5.6    12.2    13.9
  1 11 19 1430 D   205.6     6.9    11.9     5.9   211.2     5.3    15.2     6.5    -2.4    52.5    -1.2     0.0   231.00    91.00    99.87     0.51     5.7    12.2    13.9
  1 11 19 1530 D   211.8     7.7     9.3     5.8   215.2     5.5    13.4     6.2    -1.4    57.4    -0.8     0.0    68.90    19.90    99.85     0.55     5.7    12.2    13.9
  1 11 19 1630 D   213.1     6.0     9.5     5.6   218.2     4.1    12.8     5.8    -0.3    63.8    -0.5     0.0    11.60    -7.20    99.79     0.60     5.7    12.2    13.8
  1 11 19 1730 D   232.0     5.1    10.2     5.4   239.1     3.3    11.3     5.5     0.5    69.4    -0.2     0.0     0.00   -17.20    99.78     0.64     5.8    12.2    13.8
  1 11 19 1830 D   237.1     5.9     7.1     5.1   241.7     3.8    11.8     5.3     0.8    71.7    -0.4     0.0     0.00   -11.30    99.78     0.65     5.8    12.1    13.8
  1 11 19 1930 D   251.5     6.9    11.4     4.8   252.5     5.2    12.4     5.2    -0.0    68.1    -0.6     0.0     0.00    -8.50    99.76     0.61     5.8    12.1    13.8
  1 11 19 2030 D   276.1     7.8     8.7     2.5   279.0     5.5    13.1     2.9     0.6    82.8    -0.8     0.0     0.00   -10.40    99.78     0.64     5.8    12.1    13.8
  1 11 19 2130 D   270.7     5.5     9.0     1.6   271.6     4.1    12.1     2.0     1.1    92.8    -0.7     0.0     0.00    -8.50    99.76     0.67     5.8    12.1    13.8
  1 11 19 2230 D   266.4     4.8    10.8     1.6   264.6     3.7    12.8     2.0     1.4    94.3    -0.8     0.0     0.00    -6.30    99.75     0.68     5.8    12.1    13.8
  1 11 19 2330 D   266.4     4.6     9.8     1.7   266.8     3.6    12.2     2.1     1.6    94.8    -0.8     0.0     0.00    -8.60    99.73     0.69     5.8    12.0    13.8
  1 11 19 2400 X   224.4     5.5     8.4     0.7   226.6     3.9    12.1     0.9    -2.5    79.8    -0.5     4.1   133.60    24.50    99.83     0.52     5.9    12.2    13.8
  2 11 19 0030 D   247.1     3.8    14.4     1.6   245.4     3.0    13.7     2.0     1.6    95.5    -0.8     0.0     0.00    -6.80    99.70     0.69     5.8    12.0    13.8
  2 11 19 0130 D   251.0     4.1    14.8     1.4   250.6     3.2    13.3     1.7     1.5    96.9    -0.8     0.0     0.00    -7.20    99.70     0.68     5.9    12.0    13.8
  2 11 19 0230 D   268.5     4.9    10.3     1.1   269.1     3.9    13.1     1.5     1.5    98.0    -0.8     0.0     0.00    -7.70    99.68     0.68     5.9    12.0    13.8
  2 11 19 0330 D   272.4     3.9    10.1     0.6   270.9     3.3    13.4     1.0     1.2    99.7    -0.7     0.0     0.00    -4.20    99.66     0.67     5.9    12.0    13.8
  2 11 19 0430 D   267.6     4.5    12.3     0.7   269.2     3.4    13.6     1.1     1.4   100.8    -0.7     0.0     0.00    -2.70    99.65     0.68     5.9    11.9    13.8
