  1 11 21 0030 C   299.8     6.2     5.0     3.1   293.1     2.9     9.0     2.7    -1.2    74.0     0.8     0.0   100.40   -47.30    99.84     0.56    10.2 99999.0    14.4
  1 11 21 0130 C   301.7     5.7     4.8     2.7   293.3     2.5     9.3     2.3    -1.2    76.0     0.7     0.0    99.40   -47.10    99.86     0.56    10.0 99999.0    14.4
  1 11 21 0230 C   301.9     5.4     3.6     2.3   293.9     2.3     8.6     1.9    -1.1    79.0     0.8     0.0    98.70   -45.70    99.89     0.56     9.9 99999.0    14.4
  1 11 21 0330 C   299.9     5.1     3.6     1.9   290.0     2.3     7.8     1.4    -1.2    81.2     0.9     0.0    97.20   -38.50    99.93     0.56     9.8 99999.0    14.4
  1 11 21 0430 C   299.4     5.2     3.6     1.6   290.3     2.5     6.9     1.1    -1.4    82.2     1.0     0.0    96.30   -34.70   100.00     0.55     9.6 99999.0    14.4
  1 11 21 0530 C   297.0     4.8     3.3     1.0   288.5     2.3     6.6     0.7    -1.6    83.1     0.8     0.0    96.20   -31.50   100.03     0.54     9.5 99999.0    14.4
  1 11 21 0630 C   302.0     4.9     4.3     0.8   288.8     2.3     7.9     0.4    -1.8    83.8     0.9     0.0   116.80   -11.40   100.05     0.53     9.4 99999.0    14.4
  1 11 21 0730 C   277.1     3.7    12.2     1.0   261.4     2.4    11.0     1.1    -1.7    80.1    -0.3     0.0   175.80    39.40   100.12     0.54     9.3 99999.0    14.4
  1 11 21 0830 C   251.1     3.7     8.0     1.4   248.7     3.2    11.8     1.9    -1.4    77.7    -1.0     0.0   229.70    73.30   100.22     0.55     9.2 99999.0    14.4
  1 11 21 0930 B   256.6     3.6    14.3     3.1   252.5     3.3    16.6     3.8    -1.1    70.2    -1.4     0.0   545.10   298.50   100.30     0.56     9.1 99999.0    14.4
  1 11 21 1030 B   266.9     4.2    16.6     5.2   264.5     3.5    20.3     6.1    -1.5    58.0    -1.8     0.0   457.30   233.70   100.37     0.55     9.1 99999.0    14.4
  1 11 21 1130 B   264.8     5.9    14.9     6.4   261.9     4.6    15.0     7.4    -2.0    51.5    -1.9     0.0   493.50   256.20   100.36     0.53     9.1 99999.0    14.4
  1 11 21 1230 C   274.3     7.8    14.0     7.0   273.0     5.6    14.6     7.9    -4.2    41.7    -1.7     0.0   399.60   190.40   100.32     0.45     9.2 99999.0    14.4
  1 11 21 1330 C   271.6     8.2    12.1     7.0   271.9     5.6    15.3     7.8    -3.8    43.4    -1.6     0.0   361.90   153.20   100.27     0.46     9.2 99999.0    14.4
  1 11 21 1430 D   270.0     7.5    13.3     7.1   267.1     5.3    14.4     7.8    -3.4    44.9    -1.4     0.0   277.20    94.60   100.23     0.48     9.3 99999.0    14.4
  1 11 21 1530 D   266.8     7.4    12.8     7.2   268.1     5.3    14.0     7.9    -3.5    44.3    -1.3     0.0   266.10    60.10   100.19     0.47     9.4 99999.0    14.4
  1 11 21 1630 C   264.6     6.7     9.7     6.8   263.2     4.5    11.4     7.1    -3.9    45.1    -0.6     0.0   125.70   -34.60   100.17     0.46     9.4 99999.0    14.4
  1 11 21 1730 C   267.3     5.4     6.9     6.1   265.4     3.3    10.1     6.3    -3.3    49.7    -0.2     0.0    93.80   -42.00   100.15     0.48     9.4 99999.0    14.4
  1 11 21 1830 C   265.4     4.8     6.2     5.4   265.7     2.5    10.2     5.4    -2.7    55.4     0.1     0.0    94.10   -40.70   100.14     0.50     9.4 99999.0    14.4
  1 11 21 1930 C   272.8     5.0    11.3     5.0   273.3     2.8    11.6     5.1    -2.2    58.8    -0.2     0.0    94.70   -27.40   100.14     0.52     9.4 99999.0    14.4
  1 11 21 2030 C   287.1     4.3     7.9     4.4   281.8     2.1    11.1     4.4    -2.0    62.2     0.1     0.0    93.60   -33.60   100.16     0.53     9.3 99999.0    14.4
