  1 10 21 0030 D   153.3     6.2     2.9    19.4   106.3     1.7     9.8    18.3    11.4    63.6     2.2     0.0    30.40   -19.60   100.00     1.35    17.5 99999.0    14.7
  1 10 21 0130 D   154.6     5.3     4.8    19.0    98.3     1.6     8.9    17.5    11.3    66.3     2.9     0.0    28.80   -19.00    99.99     1.34    17.4 99999.0    14.7
  1 10 21 0230 D   145.6     3.9     6.0    18.3    89.1     1.7     7.1    16.9    11.3    68.8     2.8     0.0    28.30   -16.20    99.96     1.34    17.2 99999.0    14.7
  1 10 21 0330 D   146.6     4.1     7.0    17.9    89.1     2.0     7.8    16.4    11.2    70.4     3.0     0.0    28.60   -15.90    99.96     1.33    17.1 99999.0    14.7
  1 10 21 0430 D   140.2     5.0     6.7    17.2    94.1     2.0     7.7    15.7    11.4    74.7     3.0     0.0    28.10   -18.00   100.00     1.35    17.0 99999.0    14.7
  1 10 21 0530 D   160.1     6.2     7.6    16.6   121.1     1.5    13.1    15.2    11.5    77.8     2.8     0.0    28.80   -15.80   100.01     1.36    16.8 99999.0    14.7
  1 10 21 0630 B   168.5     5.7     4.1    16.5   143.5     1.5    12.8    15.7    11.7    76.5     1.5     0.0    90.30    30.20   100.04     1.38    16.7 99999.0    14.7
  1 10 21 0730 B   175.2     4.9     7.5    17.5   172.9     1.9    15.6    17.8    13.1    74.2    -0.6     0.0   253.80   146.10   100.13     1.52    16.7 99999.0    14.7
  1 10 21 0830 B   179.4     3.9     9.0    20.3   188.7     2.2    17.7    20.9    15.2    69.7    -1.2     0.0   425.20   273.50   100.25     1.73    16.6 99999.0    14.8
  1 10 21 0930 B   187.0     4.5     7.9    22.6   197.9     2.5    18.6    23.3    16.9    67.1    -1.4     0.0   568.50   375.70   100.32     1.93    16.7 99999.0    14.8
  1 10 21 1030 B   184.1     4.5    11.1    24.6   182.2     2.5    25.3    25.5    17.8    62.5    -1.8     0.0   658.90   441.60   100.31     2.04    16.8 99999.0    14.8
  1 10 21 1130 B   182.2     5.0    11.9    26.1   193.7     2.7    24.5    27.0    18.0    58.1    -1.9     0.0   692.30   463.40   100.28     2.07    16.9 99999.0    14.8
  1 10 21 1230 B   185.1     5.0    15.9    27.0   194.4     2.9    28.3    27.9    17.9    54.7    -1.9     0.0   592.60   374.50   100.22     2.06    17.1 99999.0    14.8
  1 10 21 1330 B   173.2     4.9    19.8    27.7   165.0     3.1    37.5    28.6    17.7    51.8    -1.9     0.0   591.00   362.70   100.18     2.03    17.4 99999.0    14.8
  1 10 21 1430 C   167.1     6.3     9.9    27.8   777.7     2.5   777.7    28.5    16.7    48.9    -1.5     0.0   335.40   171.00   100.14     1.90    17.7 99999.0    14.8
  1 10 21 1530 B   173.1     6.5    10.8    28.0   777.7     0.8   777.7    28.5    15.9    46.3    -1.1     0.0   253.90   106.50   100.09     1.81    18.0 99999.0    14.8
  1 10 21 1630 B   174.9     5.7     6.4    27.6   164.5     1.9    12.7    27.5    15.6    47.9     0.0     0.0    99.00    19.10   100.05     1.77    18.2 99999.0    14.8
  1 10 21 1730 D   175.9     6.0     2.6    26.8   777.7     1.1   777.7    26.3    15.6    51.1     1.0     0.0    38.30   -11.30    99.99     1.77    18.4 99999.0    14.8
  1 10 21 1830 D   172.4     7.1     4.5    25.6   153.0     1.5    16.0    24.8    15.5    55.6     1.5     0.0    30.50   -16.50    99.96     1.76    18.4 99999.0    14.8
  1 10 21 1930 D   168.0     6.3     4.9    24.2   132.5     1.4    18.4    23.6    14.9    58.0     1.1     0.0    29.50   -16.40    99.92     1.70    18.4 99999.0    14.7
  1 10 21 2030 D   176.1     6.9     5.9    23.5   180.9     1.4    18.4    23.2    13.8    55.0     0.7     0.0    29.30   -21.10    99.89     1.59    18.4 99999.0    14.7
  1 10 21 2130 D   179.2     6.8     6.8    23.0   777.7     0.7   777.7    22.8    12.9    53.1     0.4     0.0    27.40   -27.40    99.87     1.49    18.3 99999.0    14.7
  1 10 21 2230 D   178.7     5.7     7.9    22.2   777.7     0.6   777.7    22.2    12.3    53.0     0.0     0.0    26.40   -10.50    99.84     1.43    18.2 99999.0    14.7
  1 10 21 2330 D   193.2     5.4    12.9    21.6   777.7     1.0   777.7    21.8    12.7    55.8    -0.4     0.0    25.80   -13.60    99.86     1.47    18.1 99999.0    14.7
  1 10 21 2400 X   170.8     5.5     8.1    22.5   777.7     1.8   777.7    22.3    14.2    60.9     0.4     0.0   205.90   106.00   100.05     1.65    17.5 99999.0    14.7
  2 10 21 0030 D   200.2     4.3    12.1    20.9   777.7     0.7   777.7    21.1    13.3    60.7    -0.5     0.0    25.30    -8.90    99.86     1.53    18.0 99999.0    14.7
  2 10 21 0130 D   197.3     4.2     9.5    20.5   777.7     0.7   777.7    20.7    13.4    62.8    -0.4     0.0    24.80   -13.80    99.82     1.55    18.0 99999.0    14.7
  2 10 21 0230 D   189.6     5.6     7.0    19.9   777.7     0.7   777.7    19.9    13.7    66.5    -0.1     0.0    24.80   -19.90    99.76     1.57    17.9 99999.0    14.7
  2 10 21 0330 D   195.9     5.8     8.1    19.7   777.7     0.8   777.7    19.8    14.3    70.2    -0.3     0.0    24.40    -8.80    99.73     1.64    17.9 99999.0    14.7
  2 10 21 0430 D   204.8     5.6     8.7    19.1   777.7     0.8   777.7    19.2    16.1    81.0    -0.2     0.0    24.00    -8.70    99.72     1.83    17.8 99999.0    14.7
  2 10 21 0530 D   196.3     5.8     7.9    18.9   777.7     0.7   777.7    18.8    16.4    85.3     0.2     0.0    25.10   -14.20    99.70     1.87    17.8 99999.0    14.7
  2 10 21 0630 B   187.8     6.4     5.4    18.7   777.7     0.8   777.7    18.7    16.1    84.4    -0.0     0.0    67.70    12.30    99.67     1.83    17.7 99999.0    14.7
  2 10 21 0730 B   193.0     5.6     8.2    18.8   194.9     1.9    12.0    19.3    16.5    83.9    -1.0     0.0   179.80    97.40    99.68     1.88    17.7 99999.0    14.7
  2 10 21 0830 B   200.5     4.7    11.7    19.6   777.7     0.5   777.7    20.3    17.7    85.1    -1.4     0.0   264.30   164.60    99.72     2.03    17.7 99999.0    14.8
  2 10 21 0930 A   192.2     4.7    10.3    20.6   777.7     0.4   777.7    21.4    18.2    82.3    -1.6     0.0   362.30   233.70    99.73     2.10    17.7 99999.0    14.8
  2 10 21 1030 B   198.7     5.3     9.5    22.1   208.8     3.5    17.6    22.9    19.0    78.7    -1.7     0.0   480.50   316.80    99.72     2.21    17.8 99999.0    14.8
  2 10 21 1130 C   204.4     5.3    10.9    23.2   224.1     3.1    20.4    24.1    19.6    76.1    -1.7     0.0   349.30   221.70    99.69     2.28    17.9 99999.0    14.8
  2 10 21 1230 B   189.7     6.5    11.1    24.4   200.6     4.0    20.2    25.4    19.6    70.7    -1.9     0.0   491.30   315.70    99.62     2.28    18.1 99999.0    14.8
  2 10 21 1330 C   192.2     6.8     8.9    24.3   199.4     3.7    16.8    25.1    19.5    71.1    -1.5     0.0   195.20   113.00    99.55     2.27    18.3 99999.0    14.8
  2 10 21 1430 C   192.0     6.8     8.8    23.1   203.1     3.6    12.9    23.7    19.6    77.4    -1.1     0.0    58.50    17.60    99.49     2.28    18.4 99999.0    14.8
  2 10 21 1530 C   190.9     6.2     9.0    20.3   194.9     3.2    13.1    20.8    19.8    93.4    -1.0     0.8    60.80    16.30    99.44     2.32    18.5 99999.0    14.8
  2 10 21 1630 B   173.0     4.1    15.5    20.0   166.7     1.9    18.3    20.5    20.1    97.2    -1.0     0.2    97.70    35.20    99.38     2.36    18.6 99999.0    14.8
  2 10 21 1730 D   177.1     4.6     9.4    19.8   172.9     1.8    16.1    20.2    20.0    98.0    -0.7     0.0    42.80    -1.40    99.35     2.34    18.6 99999.0    14.7
  2 10 21 1830 D   174.9     5.4     7.5    19.6   168.3     2.0    11.9    19.8    19.5    97.7    -0.5     0.0    29.20    -6.90    99.33     2.27    18.6 99999.0    14.7
  2 10 21 1930 D   172.6     6.2     8.7    19.3   171.8     2.5    12.6    19.5    19.2    97.5    -0.5     0.0    26.10    -6.10    99.31     2.23    18.6 99999.0    14.7
  2 10 21 2030 D   192.1     6.2     6.8    19.4   199.9     2.7    11.4    19.6    19.4    98.0    -0.5     0.0    22.00    -5.40    99.28     2.26    18.6 99999.0    14.7
  2 10 21 2130 D   190.9     5.5     7.6    19.4   195.5     2.7    12.4    19.9    19.7    98.8    -0.9     0.0    21.60    -2.30    99.28     2.31    18.6 99999.0    14.7
  2 10 21 2230 D   195.0     5.4     8.9    19.3   198.8     3.0    12.4    19.8    19.8    98.9    -1.0     0.0    20.60    -1.90    99.26     2.31    18.5 99999.0    14.7
  2 10 21 2330 D   209.1     4.8     9.8    19.4   212.4     2.5    13.1    19.8    19.7    98.8    -0.9     0.0    20.70    -5.30    99.24     2.30    18.5 99999.0    14.7
  2 10 21 2400 X   192.0     5.5     8.4    20.4   777.7     2.0   777.7    20.8    17.9    83.9    -0.8     2.5   122.50    60.00    99.56     2.08    18.2 99999.0    14.7
  3 10 21 0030 D   205.7     4.2    12.2    19.3   205.9     2.3    13.6    19.7    19.6    98.7    -0.8     0.0    21.40    -3.80    99.19     2.28    18.5 99999.0    14.7
  3 10 21 0130 D   216.5     3.7    10.4    19.2   213.8     1.9    11.8    19.5    19.5    99.0    -0.5     0.2    21.30    -4.90    99.16     2.27    18.5 99999.0    14.7
  3 10 21 0230 D   210.4     3.5    12.0    19.3   203.2     2.0    13.5    19.6    19.6    99.4    -0.6     0.0    22.00    -1.10    99.16     2.29    18.5 99999.0    14.7
  3 10 21 0330 D   222.5     3.8     8.4    19.4   219.9     2.2    13.4    19.8    19.8    99.5    -0.7     0.0    21.60    -3.50    99.14     2.31    18.4 99999.0    14.7
  3 10 21 0430 D   225.9     4.0     6.8    19.5   226.4     2.2    13.4    19.9    19.9    99.5    -0.8     0.2    22.70    -2.10    99.14     2.33    18.4 99999.0    14.7
  3 10 21 0530 D   228.2     4.8     8.0    19.4   234.6     3.2    12.3    19.9    19.6    98.0    -1.0     0.0    23.00    -2.20    99.15     2.29    18.4 99999.0    14.7
  3 10 21 0630 D   243.5     4.1    11.1    19.1   248.4     2.9    11.8    19.6    19.4    98.3    -1.0     0.0    38.80     8.80    99.16     2.26    18.4 99999.0    14.7
  3 10 21 0730 C   249.4     3.6     9.9    19.0   252.6     2.7    13.0    19.6    19.3    97.9    -1.2     0.0    96.40    48.80    99.16     2.24    18.4 99999.0    14.7
  3 10 21 0830 C   249.1     2.5    22.2    19.3   256.6     2.2    17.7    19.9    19.4    96.5    -1.4     0.0   161.60    91.50    99.18     2.26    18.4 99999.0    14.7
  3 10 21 0930 C   232.7     2.7    37.3    20.1   256.1     2.1    21.9    20.8    19.6    92.7    -1.5     0.0   282.90   174.90    99.22     2.28    18.4 99999.0    14.8
  3 10 21 1030 B   217.4     3.3    23.4    21.7   243.9     2.3    32.5    22.5    18.7    79.7    -1.5     0.0   550.80   364.80    99.24     2.16    18.5 99999.0    14.8
  3 10 21 1130 B   254.1     3.2    32.1    22.7   284.3     2.6    25.6    23.5    17.4    68.6    -1.5     0.0   392.50   248.30    99.23     1.99    18.6 99999.0    14.8
  3 10 21 1230 B   283.7     3.6    34.8    22.9   297.2     3.0    19.3    23.7    17.2    66.9    -1.6     0.0   367.80   229.70    99.19     1.97    18.7 99999.0    14.8
  3 10 21 1330 C   305.8     4.7    11.6    21.1   306.7     3.4    14.9    21.8    16.2    70.3    -1.3     0.0   213.10   116.50    99.13     1.85    18.8 99999.0    14.8
  3 10 21 1430 B   325.8     2.9    35.1    22.1   335.6     2.4    30.4    23.0    17.0    69.1    -1.7     0.0   436.20   244.50    99.10     1.94    18.9 99999.0    14.8
  3 10 21 1530 B   350.8     2.7    38.1    22.9   354.4     1.9    30.4    23.5    16.4    64.0    -1.3     0.0   224.80   103.60    99.14     1.87    19.0 99999.0    14.8
  3 10 21 1630 B   295.5     2.5    23.4    22.4   307.0     1.7    12.8    22.7    16.1    65.9    -0.8     0.0    89.20    23.60    99.12     1.83    19.0 99999.0    14.8
  3 10 21 1730 D   296.6     2.9     9.5    21.8   302.6     1.4     6.6    21.8    15.9    69.0     0.1     0.0    38.50   -18.60    99.10     1.81    19.1 99999.0    14.7
  3 10 21 1830 D   287.3     3.2     9.3    21.4   297.4     1.6     8.4    21.1    16.9    76.8     0.7     0.0    30.30   -10.60    99.07     1.94    19.0 99999.0    14.7
  3 10 21 1930 D   304.3     2.8    31.0    20.8   322.5     1.4    15.4    20.6    17.6    82.1     0.5     0.4    34.30    -6.50    99.07     2.01    19.0 99999.0    14.7
  3 10 21 2030 D   777.7     1.4   777.7    19.6   777.7     1.0   777.7    18.7    17.9    95.0     1.9     0.0    32.30   -11.50    99.07     2.06    18.9 99999.0    14.7
  3 10 21 2130 D   336.5     2.2    10.5    19.4   333.7     1.1    22.9    18.6    18.0    96.1     1.6     0.0    30.80    -8.20    99.06     2.07    18.8 99999.0    14.7
  3 10 21 2230 D     5.0     3.9    18.1    18.7   341.5     1.7    13.7    18.5    18.2    97.9     0.5     0.0    26.20    -4.10    99.07     2.10    18.6 99999.0    14.7
  3 10 21 2330 D   342.4     4.2    15.3    18.1   329.7     1.7    17.6    18.0    17.9    98.7     0.2     0.0    25.30   -10.70    99.07     2.06    18.5 99999.0    14.7
  3 10 21 2400 X   265.2     3.4    19.8    20.4   269.8     2.1    20.2    20.7    18.2    86.6    -0.6     0.8   133.50    65.30    99.14     2.10    18.6 99999.0    14.7
  4 10 21 0030 D     2.5     4.3    10.7    17.6     1.3     1.5    19.4    17.7    17.6    98.9    -0.2     0.0    25.50    -5.90    99.09     2.01    18.4 99999.0    14.7
  4 10 21 0130 D     3.1     3.1    18.8    17.4   346.1     1.5    20.2    17.6    17.6    99.3    -0.3     0.0    24.90    -6.80    99.11     2.02    18.3 99999.0    14.7
  4 10 21 0230 D   344.1     3.2     8.6    17.1   332.5     1.9    16.2    17.4    17.5    99.5    -0.7     0.0    26.90    -2.90    99.14     2.00    18.2 99999.0    14.7
  4 10 21 0330 D   330.6     2.4    11.5    17.1   312.0     1.3    19.3    17.5    17.5    99.5    -0.8     0.0    32.10    -4.90    99.16     2.00    18.2 99999.0    14.7
  4 10 21 0430 D   309.6     2.9    11.8    17.3   302.2     1.7    13.3    17.5    17.5    99.4    -0.5     0.0    31.90    -5.10    99.19     2.00    18.1 99999.0    14.7
  4 10 21 0530 D   341.1     3.3    13.6    17.3   331.0     1.5    17.0    17.6    17.5    99.0    -0.7     0.0    33.00    -1.80    99.26     2.00    18.1 99999.0    14.7
  4 10 21 0630 D   352.2     2.9     7.4    17.5   337.2     1.2    20.5    17.8    17.6    98.3    -0.7     0.0    46.90     7.90    99.32     2.01    18.0 99999.0    14.7
  4 10 21 0730 B   355.4     3.6    17.1    17.8   345.5     1.6    21.4    18.2    17.8    96.8    -0.9     0.0    93.50    43.80    99.39     2.04    18.0 99999.0    14.7
  4 10 21 0830 C   359.7     4.2    31.4    18.2     0.9     2.0    22.9    18.8    17.4    91.5    -1.1     0.0   156.40    86.70    99.47     2.00    18.0 99999.0    14.7
  4 10 21 0930 C     7.3     4.1    14.3    18.7    14.9     2.4    24.1    19.4    17.4    87.2    -1.5     0.0   232.30   135.70    99.53     1.99    18.0 99999.0    14.7
  4 10 21 1030 B    16.5     4.8    15.4    19.7    26.3     3.1    22.4    20.6    16.9    79.1    -1.7     0.0   449.20   286.70    99.58     1.93    18.0 99999.0    14.7
  4 10 21 1130 B    13.5     4.7    25.1    20.8    22.3     3.2    26.4    21.8    16.7    72.1    -2.1     0.0   584.10   387.40    99.63     1.90    18.1 99999.0    14.8
  4 10 21 1230 B    37.1     4.1    30.7    21.2    44.7     3.4    26.2    22.3    16.4    69.1    -2.2     0.0   654.80   425.60    99.64     1.87    18.2 99999.0    14.8
  4 10 21 1330 B    59.3     3.6    26.7    21.4    50.0     3.4    22.6    22.3    16.8    70.6    -1.8     0.0   495.90   299.40    99.64     1.92    18.3 99999.0    14.8
  4 10 21 1430 B    39.6     4.9    25.0    21.1    42.8     3.8    20.8    22.2    17.0    72.0    -2.1     0.0   477.30   268.80    99.67     1.94    18.5 99999.0    14.8
  4 10 21 1530 C    34.9     5.5    15.1    20.0    43.0     3.9    18.8    20.8    16.8    77.9    -1.6     0.0   193.80    91.40    99.70     1.92    18.6 99999.0    14.8
  4 10 21 1630 C    17.9     6.5    10.2    19.2    27.0     3.5    21.4    19.9    16.8    82.2    -1.3     0.0    74.60    20.70    99.71     1.91    18.7 99999.0    14.7
  4 10 21 1730 D    21.8     5.9    13.3    18.8    31.0     3.3    21.2    19.3    16.6    84.0    -1.1     0.0    45.40    -5.60    99.72     1.89    18.7 99999.0    14.7
  4 10 21 1830 D    14.4     6.5    11.0    18.2    25.5     3.2    21.0    18.7    16.6    87.1    -1.1     0.0    41.20    -4.90    99.75     1.90    18.7 99999.0    14.7
  4 10 21 1930 D    12.1     6.1    12.2    17.9    21.8     3.1    21.6    18.4    16.3    87.0    -1.1     0.0    42.40    -4.20    99.79     1.86    18.7 99999.0    14.7
  4 10 21 2030 D    16.1     5.1    11.5    17.9    26.3     2.7    21.9    18.4    16.1    86.1    -0.9     0.0    43.50    -9.90    99.80     1.84    18.6 99999.0    14.7
  4 10 21 2130 D    19.4     5.5    11.6    17.8    29.7     3.0    19.8    18.3    16.0    86.1    -1.1     0.0    42.70    -3.90    99.82     1.83    18.5 99999.0    14.7
  4 10 21 2230 D    12.7     5.5    10.5    17.4    19.1     2.7    21.1    18.0    16.2    88.9    -1.1     0.0    43.30    -3.80    99.83     1.85    18.5 99999.0    14.7
  4 10 21 2330 D     9.4     4.6     9.5    17.6    14.9     2.1    21.8    18.1    16.4    89.8    -1.0     0.0    44.00    -3.50    99.85     1.87    18.4 99999.0    14.7
  4 10 21 2400 X    11.9     4.5    15.9    18.5    19.4     2.5    21.1    19.1    17.0    87.6    -1.1     0.0   164.00    83.00    99.53     1.94    18.3 99999.0    14.7
  5 10 21 0030 D    12.3     3.8    10.6    17.7    10.3     1.8    23.0    18.2    16.7    90.8    -0.9     0.0    44.40    -3.30    99.88     1.90    18.4 99999.0    14.7
  5 10 21 0130 D    15.7     3.9     9.5    17.9    18.7     1.9    20.9    18.4    17.0    91.5    -0.9     0.0    44.90    -6.70    99.89     1.94    18.3 99999.0    14.7
  5 10 21 0230 D    18.1     4.0    10.0    18.0    25.5     2.0    19.6    18.4    17.1    91.5    -0.9     0.0    45.60    -6.90    99.90     1.95    18.3 99999.0    14.7
  5 10 21 0330 D    31.8     3.8    13.8    18.1    35.0     2.3    18.2    18.5    16.8    89.8    -0.9     0.0    46.10    -8.40    99.91     1.92    18.2 99999.0    14.7
  5 10 21 0430 D    35.7     4.0    13.3    18.0    41.6     2.6    18.4    18.5    16.3    86.5    -0.9     0.0    45.90    -5.30    99.95     1.85    18.2 99999.0    14.7
  5 10 21 0530 D    50.1     4.7    16.1    17.8    48.1     3.2    18.1    18.3    16.2    86.8    -1.0     0.0    46.20    -3.60   100.00     1.84    18.2 99999.0    14.7
  5 10 21 0630 C    36.4     4.9    13.7    17.3    41.7     3.2    18.0    17.8    16.3    90.1    -1.1     0.0    55.30     2.70   100.05     1.86    18.1 99999.0    14.7
  5 10 21 0730 C    39.0     4.5    15.1    17.5    45.1     2.9    19.2    18.0    15.8    86.8    -1.1     0.0    77.50    20.40   100.12     1.80    18.1 99999.0    14.7
  5 10 21 0830 C    40.3     4.2    15.2    17.6    46.9     3.0    19.3    18.2    15.9    86.0    -1.2     0.0    99.50    37.30   100.18     1.81    18.0 99999.0    14.7
